Day/Month/Year,BusStop,Pasengers
อังคารที่ 22 พฤศจิกายน 2565,7-Eleven Stop,1033
,ETC office ,714
,Building A Gate 6,219
พุธที่ 23 พฤศจิกายน 2565,7-Eleven Stop,1043
,ETC office ,707
,Building A Gate 6,182
พฤหัสบดีที่ 24 พฤศจิกายน 2565,7-Eleven Stop,981
,ETC office ,701
,Building A Gate 6,169
ศุกร์ที่ 25 พฤศจิกายน 2565,7-Eleven Stop,1037
,ETC office ,740
,Building A Gate 6,260
จันทร์ที่ 28 พฤศจิกายน 2565,7-Eleven Stop,932
,ETC office ,662
,Building A Gate 6,114
อังคารที่ 29 พฤศจิกายน 2565,7-Eleven Stop,868
,ETC office ,665
,Building A Gate 6,123
ศุกร์ที่ 30 พฤศจิกายน 2565,7-Eleven Stop,937
,ETC office ,679
,Building A Gate 6,121
พฤหัสบดีที่ 1 ธันวาคม 2565,7-Eleven Stop,882
,ETC office ,622
,Building A Gate 6,134
ศุกร์ที่ 2 ธันวาคม 2565,7-Eleven Stop,895
,ETC office ,87
,Building A Gate 6,114
อังคารที่ 6 ธันวาคม 2565,7-Eleven Stop,830
,ETC office ,474
,Building A Gate 6,113
พุธที่ 7 ธันวาคม 2565,7-Eleven Stop,512
,ETC office ,584
,Building A Gate 6,127
พฤหัสบดีที่ 8 ธันวาคม 2565,7-Eleven Stop,937
,ETC office ,551
,Building A Gate 6,158
ศุกร์ที่ 9 ธันวาคม 2565,7-Eleven Stop,692
,ETC office ,605
,Building A Gate 6,185
อังคารที่ 13 ธันวาคม 2565,7-Eleven Stop,786
,ETC office ,639
,Building A Gate 6,114
พุธที่ 14 ธันวาคม 2565,7-Eleven Stop,853
,ETC office ,633
,Building A Gate 6,141
พฤหัสบดีที่ 15 ธันวาคม 2565,7-Eleven Stop,869
,ETC office ,666
,Building A Gate 6,119
ศุกร์ที่ 16 ธันวาคม 2565,7-Eleven Stop,742
,ETC office ,643
,Building A Gate 6,100
จันทร์ที่ 19  ธันวาคม 2565,7-Eleven Stop,951
,ETC office ,670
,Building A Gate 6,185
อังคารที่ 20 ธันวาคม 2565,7-Eleven Stop,963
,ETC office ,708
,Building A Gate 6,211
พุธที่ 21 ธันวาคม 2565,7-Eleven Stop,934
,ETC office ,675
,Building A Gate 6,222
พฤหัสบดีที่ 22 ธันวาคม 2565,7-Eleven Stop,832
,ETC office ,644
,Building A Gate 6,186
ศุกร์ที่ 23 ธันวาคม 2565,7-Eleven Stop,921
,ETC office ,726
,Building A Gate 6,205
จันทร์ที่ 26  ธันวาคม 2565,7-Eleven Stop,867
,ETC office ,647
,Building A Gate 6,121
อังคารที่ 27 ธันวาคม 2565,7-Eleven Stop,835
,ETC office ,652
,Building A Gate 6,134
พุธที่ 28 ธันวาคม 2565,7-Eleven Stop,798
,ETC office ,595
,Building A Gate 6,118
พฤหัสบดีที่ 29 ธันวาคม 2565,7-Eleven Stop,721
,ETC office ,550
,Building A Gate 6,98
อังคารที่ 3 มกราคม 2566,7-Eleven Stop,737
,ETC office ,617
,Building A Gate 6,112
พุธที่ 4 มกราคม 2566,7-Eleven Stop,789
,ETC office ,630
,Building A Gate 6,135
พฤหัสบดีที่ 5 มกราคม 2566,7-Eleven Stop,821
,ETC office ,614
,Building A Gate 6,120
ศุกร์ที่ 6 มกราคม 2566,7-Eleven Stop,787
,ETC office ,669
,Building A Gate 6,136
จันทร์ที่ 9 มกราคม 2566,7-Eleven Stop,835
,ETC office ,647
,Building A Gate 6,125
อังคารที่ 10 มกราคม 2566,7-Eleven Stop,800
,ETC office ,598
,Building A Gate 6,143
พุธที่ 11 มกราคม 2566,7-Eleven Stop,800
,ETC office ,585
,Building A Gate 6,123
พฤหัสบดีที่ 12 มกราคม 2566,7-Eleven Stop,831
,ETC office ,574
,Building A Gate 6,140
ศุกร์ที่ 13 มกราคม 2566,7-Eleven Stop,773
,ETC office ,597
,Building A Gate 6,139
จันทร์ที่ 16 มกราคม 2566,7-Eleven Stop,913
,ETC office ,635
,Building A Gate 6,163
อังคารที่ 17 มกราคม 2566,7-Eleven Stop,1012
,ETC office ,605
,Building A Gate 6,200
พุธที่ 18 มกราคม 2566,7-Eleven Stop,891
,ETC office ,630
,Building A Gate 6,177
พฤหัสบดีที่ 19 มกราคม 2566,7-Eleven Stop,916
,ETC office ,643
,Building A Gate 6,196
ศุกร์ที่ 20 มกราคม 2566,7-Eleven Stop,996
,ETC office ,688
,Building A Gate 6,219
จันทร์ที่ 23 มกราคม 2566,7-Eleven Stop,774
,ETC office ,586
,Building A Gate 6,116
อังคารที่ 24 มกราคม 2566,7-Eleven Stop,798
,ETC office ,568
,Building A Gate 6,91
พุธที่ 25 มกราคม 2566,7-Eleven Stop,834
,ETC office ,566
,Building A Gate 6,127
พฤหัสบดีที่ 26 มกราคม 2566,7-Eleven Stop,903
,ETC office ,598
,Building A Gate 6,140
ศุกร์ที่ 27 มกราคม 2566,7-Eleven Stop,839
,ETC office ,579
