Building,Month/Year,kWh,Bath
AM,ส.ค 60,"58,142.22 ","232,568.86 "
AM,ก.ย 60,"56,042.82 ","224,171.28 "
AM,ต.ค 60,"48,764.39 ","195,057.56 "
AM,พ.ย 60,"33,063.75 ","132,254.99 "
AM,ธ.ค 60,"37,190.54 ","148,762.15 "
AM,ม.ค 61,"35,544.53 ","142,178.11 "
AM,ก.พ 61,"33,764.01 ","135,056.05 "
AM,มี.ค 61,"37,650.78 ","150,603.12 "
AM,เม.ย 61,"32,942.86 ","131,771.45 "
AM,พ.ค 61,"41,154.00 ","164,614.00 "
AM,มิ.ย 61,"47,887.00 ","191,551.00 "
AM,ก.ค 61,"47,947.99 ","191,791.96 "
AM,ส.ค 61,"50,570.00 ","202,282.00 "
AM,ก.ย 61,"27,095.00 ","108,380.00 "
AM,ต.ค 61,"27,539.00 ","110,158.00 "
AM,พ.ย 61,"29,645.75 ","123,029.87 "
AM,ธ.ค 61,"32,826.12 ","136,228.41 "
AM,ม.ค 62,"26,329.36 ","105,317.47 "
AM,ก.พ 62,"24,871.21 ","99,484.84 "
AM,มี.ค 62,"76,253.87 ","316,453.56 "
AM,เม.ย 62,"73,131.45 ","303,495.54 "
AM,พ.ค 62,"70,866.32 ","294,095.22 "
AM,มิ.ย 62,"59,181.06 ","245,601.40 "
AM,ก.ค 62,"62,226.82 ","258,241.32 "
AM,ส.ค 62,"60,974.20 ","253,042.92 "
AM,ก.ย 62,"60,612.07 ","251,540.10 "
AM,ต.ค 62,"51,288.08 ","212,845.52 "
AM,พ.ย 62,"64,193.24 ","266,401.93 "
AM,ธ.ค 62,"64,071.65 ","265,897.36 "
AM,ม.ค 63,"59,690.27","247,714.62"
AM,ก.พ 63,"59,284.06","246,028.87"
AM,มี.ค 63,"71,131.30","295,194.92"
AM,เม.ย 63,"64,981.88","269,674.82"
AM,พ.ค 63,"49,245.10","204,367.17"
AM,มิ.ย 63,"45,853.95","190,293.90"
AM,ก.ค 63,"36,883.22","153,065.37"
AM,ส.ค 63,"29,411.77","122,058.86"
AM,ก.ย 63,"27,718.32","115,031.03"
AM,ต.ค 63,"22,774.56","94,514.40"
AM,พ.ย 63,"28,938.10","120,093.11"
AM,ธ.ค 63,"25,713.42","106,710.68"
AM,ม.ค 64,"65,835.16 ","263,340.64 "
AM,ก.พ 64,"55,761.86 ","223,047.44 "
AM,มี.ค 64,"61,918.48 ","247,673.92 "
AM,เม.ย 64,"56,175.46 ","224,701.84 "
AM,พ.ค 64,"35,528.70 ","142,114.80 "
AM,มิ.ย 64,"34,654.00 ","138,616.00 "
AM,ก.ค 64,"44,846.00 ","179,384.00 "
AM,ส.ค 64,"59,100.00 ","236,400.00 "
AM,ก.ย 64,"50,900.00 ","203,600.00 "
AM,ต.ค 64,"59,500.00 ","238,000.00 "
AM,พ.ย 64,"57,600.00 ","239,040.00 "
AM,ธ.ค 64,"64,634.00 ","263,110.00 "
AM,รวม,"646,453.66 ","2,599,028.64 "
AM,ม.ค 65,"63,600.00 ","263,940.00 "
AM,ก.พ 65,"58,200.00 ","241,530.00 "
AM,มี.ค 65,"63,000.00 ","261,450.00 "
AM,เม.ย 65,"62,700.00 ","260,205.00 "
AM,พ.ค 65,"61,000.00 ","253,150.00 "
AM,มิ.ย 65,"55,100.00 ","228,665.00 "
AM,ก.ค 65,"52,600.00 ","218,290.00 "
AM,ส.ค 65,"64,200.00 ","288,900.00 "
AM,ก.ย 65,"50,700.00 ","228,150.00 "
AM,ต.ค 65,"62,000.00 ","279,000.00 "
AM,พ.ย 65,"60,000.00 ","270,000.00 "
AM,ธ.ค 65,"63,000.00 ","283,500.00 "
AM,ม.ค 66,"44,600.00 ","185,090.00 "
AM,ก.พ 66,"48,400.00 ","200,860.00 "
AM,มี.ค 66,"51,800.00 ","214,970.00 "
AM,เม.ย 66,"63,000.00 ","261,450.00 "
AM,พ.ค 66,"63,500.00 ","263,525.00 "
BW,ม.ค 64," 2,792.75 "," 11,589.90 "
BW,ก.พ 64," 9,363.65 "," 38,859.14 "
BW,มี.ค 64," 9,490.89 "," 39,387.20 "
BW,เม.ย 64," 8,276.06 "," 34,345.64 "
BW,พ.ค 64," 9,157.20 "," 38,002.37 "
BW,มิ.ย 64," 8,876.82 "," 36,838.79 "
BW,ก.ค 64," 8,076.37 "," 33,516.93 "
BW,ส.ค 64," 8,276.47 "," 34,347.37 "
BW,ก.ย 64," 7,302.14 "," 30,303.87 "
BW,ต.ค 64," 8,139.59 "," 33,779.28 "
BW,พ.ย 64," 8,155.78 "," 33,846.49 "
BW,ธ.ค 64," 9,641.28 "," 40,011.30 "
BW,ม.ค 65," 9,629.34 "," 39,961.77 "
BW,ก.พ 65," 7,523.13 "," 31,220.98 "
BW,มี.ค 65," 8,786.15 "," 36,462.54 "
BW,เม.ย 65," 8,826.58 "," 36,630.29 "
BW,พ.ค 65," 8,396.47 "," 34,845.35 "
BW,มิ.ย 65," 8,555.71 "," 35,506.21 "
BW,ก.ค 65," 7,736.61 "," 32,106.92 "
BW,ส.ค 65," 6,700.83 "," 27,808.45 "
BW,ก.ย 65," 6,691.57 "," 27,770.02 "
BW,ต.ค 65," 7,544.70 "," 31,310.50 "
BW,พ.ย 65," 7,024.86 "," 29,153.18 "
BW,ธ.ค 65," 9,485.30 "," 39,364.00 "
BW,ม.ค 66,"6,810.28 ","28,262.65 "
BW,ก.พ 66,"7,510.55 ","31,168.77 "
BW,มี.ค 66,"6,732.91 ","27,941.59 "
BW,เม.ย 66,"7,710.00 ","34,695.00 "
BW,พ.ค 66,"8,390.00 ","37,755.00 "
