Day/Month/Year,BusStop,Pasengers
พุธที่ 18 พ.ค. 2565,7-Eleven Stop,697
พุธที่ 18 พ.ค. 2565,ETC office ,686
พุธที่ 18 พ.ค. 2565,Building A Gate 6,113
พฤหัสบดีที่ 19 พ.ค. 2565,7-Eleven Stop,920
พฤหัสบดีที่ 19 พ.ค. 2565,ETC office ,641
พฤหัสบดีที่ 19 พ.ค. 2565,Building A Gate 6,66
ศุกร์ที่ 20 พ.ค. 2565,7-Eleven Stop,847
ศุกร์ที่ 20 พ.ค. 2565,ETC office ,558
ศุกร์ที่ 20 พ.ค. 2565,Building A Gate 6,65
จันทร์ที่ 23 พ.ค. 2565,7-Eleven Stop,829
จันทร์ที่ 23 พ.ค. 2565,ETC office ,648
จันทร์ที่ 23 พ.ค. 2565,Building A Gate 6,58
อังคารที่ 24 พ.ค. 2565,7-Eleven Stop,887
อังคารที่ 24 พ.ค. 2565,ETC office ,665
อังคารที่ 24 พ.ค. 2565,Building A Gate 6,94
พุธที่ 25 พ.ค. 2565,7-Eleven Stop,822
พุธที่ 25 พ.ค. 2565,ETC office ,670
พุธที่ 25 พ.ค. 2565,Building A Gate 6,50
พฤหัสบดีที่ 26 พ.ค. 2565,7-Eleven Stop,863
พฤหัสบดีที่ 26 พ.ค. 2565,ETC office ,492
พฤหัสบดีที่ 26 พ.ค. 2565,Building A Gate 6,100
ศุกร์ที่ 27 พ.ค. 2565,7-Eleven Stop,815
ศุกร์ที่ 27 พ.ค. 2565,ETC office ,674
ศุกร์ที่ 27 พ.ค. 2565,Building A Gate 6,125
จันทร์ที่ 30 พ.ค. 2565,7-Eleven Stop,782
จันทร์ที่ 30 พ.ค. 2565,ETC office ,671
จันทร์ที่ 30 พ.ค. 2565,Building A Gate 6,85
อังคารที่ 31 พ.ค. 2565,จำนวนผู้ใช้บริการรถไฟฟ้า​ บริเวณปากซอย​ 8,850
อังคารที่ 31 พ.ค. 2565,ETC office ,567
อังคารที่ 31 พ.ค. 2565,จำนวนผู้ใช้บริการรถไฟฟ้าบริเวณอาคาร A ประตู 7,110
พุธที่ 1 มิถุนายน 2565,7-Eleven Stop,861
